0,Word,Definition,Example,Weight,Marked
1,anachronism,"a thing belonging or appropriate to a period other than that in which it exists, especially a thing that is conspicuously old-fashioned",the town is a throwback to medieval times an anachronism that has survived the passing years,5,false
2,obscure,not important or well known,Marketers worry that their ads will linger unseen in obscure slots,6,false
3,plausibility,quality of seeming reasonable,there aren't much evidences that support the plausibility of the theory,6,false
4,superficiality,lack of depth,we ignored the news case because of its superficiality,6,false
5,apotheosis,the highest point in development,the artist was at the apotheosis of his career,7,false
6,underscore,emphasize,the need for fire detectors in cargo bays was underscored by some accidents in the 1980s.,9,false
7,temperance,abstinence or restricting oneself from alcoholic drink,export of spirits was hampered by the temperance movement,10,false
8,eminence,fame or acknowledged superiority within a particular field,her eminence in cinematography,8,false
9,tumultuous,"excited, confused or disorderly",a tumultuous crowd,9,false
10,providential,lucky; occurring at a favourable time,Sam's dangerous and providential escape made her tremble,7,false
11,precarious,dependent on chance; uncertain,Yet London's position is more precarious than it feels. The city's success over the past quarter-century has been the consequence of historical accident and good policy.,4,false
12,abstinent,refraining from an activity,Sarah knows that alcoholism runs in her family. That's why she's chosen to be totally abstinent from alcohol.,3,false
13,relentless,harshly constant,the relentless heat of the desert,5,false
14,coterie,a small group of people with shared interests or tastes,He rules through a tight coterie of loyal aides,6,false
15,invariably,constantly; always,ranch meals are invariably big and hearty,5,false
16,vie,compete eagerly with someone in order to do or achieve something,the athletes vied for a place in the British team,6,false
17,preposterous,ridiculous,a preposterous attempt to turn back the pages of history,6,false
18,insidious,working in a subtle but destructive way,"Plaque is insidious: we cannot see it, but each day it eats away at our enamel, causing cavities and other dental problems.",6,false
19,akimbo,hands on hip and elbows pointed outwards,"she stood with her arms akimbo, frowning at the small boy",5,false
20,feign,pretend; fake,He feigned that he was ill,6,false
21,implore,request earnestly,we implored him to reconsider his decision,5,false
22,lackey,servile follower,lackeys were waiting to help them from the carriage,4,false
23,albeit,though,"he was making progress, albeit rather slowly",4,false
24,grudgingly,reluctantly or resentfully,I grudgingly accepted his apology,5,false
25,presumptuous,over confident,hope I won't be considered presumptuous if I offer some advice,6,false
26,impenitent,not feeling shame or regret,she has remained impenitent of her mistake,4,false
27,erstwhile,former,the erstwhile president of the company,6,false
28,shun,persistently avoid or ignore,he shunned fashionable society,6,false
29,harbinger,something that announces or signals a future event,witch hazels are the harbingers of spring0,6,false
30,prophetic,predicting future,his warnings proved prophetic,6,false
31,rife,full of; widespread,speculation ran rife that he was an arms dealer,5,false
32,speculate,to form a theory without firm evidence,my colleagues speculate about my private life,5,false
33,exacting,demanding accuracy,"Though his childhood piano teacher was so exacting, Max is thankful now, having become a professional pianist.",5,false
34,copious, abundant in supply or quantity,with copious food and water the chickens will survive this winter,6,false
35,scathing,damaging,she launched a scathing attack on the prime minister,5,false
36,meticulous,with careful attention to details,"Overconfident students may understand how to solve math problems but not be meticulous in their calculations, resulting in wrong answers.",5,false
37,acerbic,harsh in tone,"Most movie critics are�acerbic�towards summer blockbusters, often referring to them as garbage.",4,false
38,humdrum,lacking excitement or variety; boring,"After one year in this office, the job has started to become humdrum",6,false
39,cerebral,intellectual rather than emotional or physical,these problems require a cerebral approach rather than just mindlessly reading through them,6,false
40,proclivity,a tendency to choose or do something regularly,Hary's proclivity for practicing algorithms is what got him a job,5,false
41,flout,"openly disregard (a rule, law, or convention)",Once in a while you tend to find some inventions that seem to flout what rules we know about physics,6,false
42,obsequious,obedient or attentive to an excessive or servile degree,but at the time of need her obsequious followers abandoned her,6,false
43,deify,worship or regard as god,the crowed almost deified the captain for winning a round that everyone thought was lost,5,false
44,congenial,pleasant; suited,this office at home has proved to be quiet congenial for me,5,false
45,loquacious,talkative,"despite her shy nature, once she had a few drinks her loquacious self managed to grab attention of many people at the bar",4,false
46,wary,feeling or showing caution about possible danger or problems,Loki's reputation has made his friends wary of him,5,false
47,misnomer,wrong or inaccurate name or designation,The name Greenland is a misnomer because most of the land there is covered in white snow.,6,false
48,pragmatic,guided by practical experience and observation rather than theory,critical reasoning requires a pragmatic approach of evaluation of the topic ,6,false
49,capricious,given to sudden change in behaviour or mood,It is the capricious weather at the high altitude that accounts for the fatality rate of Mt. Everest,5,false
50,daunting,intimidating,solving these problems from the internet can sometimes be quiet daunting,6,false
51,insipid,lacking flavour or interest,months with the same food has started feeling insipid,4,false
52,spendthrift,"someone who spends money in an extravagant, irresponsible way",She spent all her money in parties and shopping unnecessary items. What a spendthrift!,5,false
53,austere,strict in manner; lack of comfort or luxuries,the austere interior of his room clearly reflects his priorities in life,3,false
54,didactic,intended to teach; instructive,They insisted that all the problems in the interview were didactic. But it still felt like free work to me,7,false
55,taciturn,reserved or uncommunicative,No company would want to have a taciturn employee. They could seriously hamper the efficiency of a whole group.,6,false
56,quixotic,extremely idealistic; unrealistic and impractical,The idea of reaching the moon was considered quixotic just about a century ago.,6,false
57,puerile,silly and immature,her puerile nature of fighting over smaller things was why they broke up,6,false
58,placate,make someone less angry or hostile,the police's attempt to placate the protestors backfired,7,false
59,cursory,hasty and not thorough and detailed,Many people including myself make the mistake of going through the passage cursorily,5,false
60,amorphous,without definitive shape or form ,the moon formed an amorphous reflection on the surface of the lake,4,false
61,abound,large in quantity,the hospitals were abound with people after the government declared free vaccination,5,false
62,misanthrope,someone who dislikes humankind,"it wouldn't be inappropriate to call Chris a misanthrope. After all, he desired to live alone in the wild",5,false
63,homogeneous,similar in kind; alike,"with all these migrations, people of Kathmandu are getting less and less homogeneous every year",6,false
64,conspicuous,clearly visible; obvious,it was conspicuous that Sharon had no intentions to return the money she had lent,5,false
